CC,Area,Countn
http://linked.data.gov.au/dataset/geofabric/catchment/12102128,1.37344e+08,1
http://linked.data.gov.au/dataset/geofabric/catchment/12300915,2.33824e+08,1
http://linked.data.gov.au/dataset/geofabric/catchment/12300966,5.13408e+08,1
http://linked.data.gov.au/dataset/geofabric/catchment/12301469,7.46846e+08,1
http://linked.data.gov.au/dataset/geofabric/catchment/12302323,1.20639e+08,1
http://linked.data.gov.au/dataset/geofabric/catchment/12302930,1.9e+08,1
http://linked.data.gov.au/dataset/geofabric/catchment/12500009,5.65751e+09,1
http://linked.data.gov.au/dataset/geofabric/catchment/12501673,1.01268e+09,1
http://linked.data.gov.au/dataset/geofabric/catchment/12501961,7.0333e+08,1
http://linked.data.gov.au/dataset/geofabric/catchment/9551734,556137,1
